"","x"
"170","cons_dbi_travel_vacation_upscalehotel"
"171","cons_autoracing"
"172","voted_06g"
"173","voted_06g_ineligible"
"174","voted_08g"
"175","voted_08g_ineligible"
"176","voted_10g"
"177","voted_12g"
"178","voted_06p"
"179","voted_06p_ineligible"
"180","voted_10p_ineligible"
"181","voted_12p"
"182","reg_earliest_month"
