"BeSiVa","Lasso","Elastic Net","Random Forest","Adaboost.M1Unimp","Adaboost.M1Imp"
0.728444003964321,0.749119718309859,0.747359154929577,0.705105633802817,0.495297805642633,1
0.726190476190476,0.746913580246914,0.742504409171076,0.705467372134039,0.509419152276295,1
0.733862959285005,0.727513227513228,0.739858906525573,0.700176366843034,0.504709576138148,1
0.714001986097319,0.741622574955908,0.735449735449735,0.695767195767196,0.494505494505495,1
0.730959446092977,0.730633802816901,0.743838028169014,0.701584507042254,0.504702194357367,1
0.726013847675569,0.743838028169014,0.742957746478873,0.705105633802817,0.481974921630094,1
0.735323383084577,0.742277140335393,0.744042365401589,0.714916151809356,0.494108405341712,1
0.736318407960199,0.740282685512368,0.736749116607774,0.702296819787986,0.503930817610063,1
0.730426164519326,0.729515418502203,0.737444933920705,0.695154185022026,0.485490196078431,1
0.728174603174603,0.7336860670194,0.741622574955908,0.707231040564374,0.492935635792779,1
0.725198412698413,0.745149911816579,0.746913580246914,0.717813051146384,0.496860282574568,1
0.727904667328699,0.73015873015873,0.738095238095238,0.702821869488536,0.493720565149137,1
0.735119047619048,0.734567901234568,0.738095238095238,0.704585537918871,0.503139717425432,1
0.736372646184341,0.734567901234568,0.746913580246914,0.718694885361552,0.485086342229199,1
0.724206349206349,0.731040564373898,0.731040564373898,0.710758377425044,0.493720565149137,1
0.728174603174603,0.739858906525573,0.738977072310406,0.715167548500882,0.50392464678179,1
0.721230158730159,0.73015873015873,0.73015873015873,0.691358024691358,0.491365777080063,1
0.727722772277228,0.754185022026432,0.748017621145374,0.705726872246696,0.498823529411765,1
0.734856007944389,0.750440917107584,0.746031746031746,0.698412698412698,0.498430141287284,1
0.729435084241824,0.734801762114537,0.736563876651982,0.711894273127753,0.499607843137255,1
0.723214285714286,0.747795414462081,0.741622574955908,0.709876543209877,0.501569858712716,1
0.725742574257426,0.740316901408451,0.738556338028169,0.705105633802817,0.493730407523511,1
0.729166666666667,0.751541850220264,0.748898678414097,0.714537444933921,0.492549019607843,1
0.725198412698413,0.73920704845815,0.738325991189427,0.707488986784141,0.492549019607843,1
0.723214285714286,0.745807590467785,0.746690203000883,0.69991173874669,0.495679497250589,1
0.734856007944389,0.738095238095238,0.7336860670194,0.704585537918871,0.494505494505495,1
0.735643564356436,0.741197183098592,0.737676056338028,0.71830985915493,0.497648902821317,1
0.739821251241311,0.729920564872021,0.730803177405119,0.706090026478376,0.490180675569521,1
0.729890764647468,0.736981465136805,0.741394527802295,0.705207413945278,0.498036135113904,1
0.740556660039761,0.735216240070609,0.747572815533981,0.721977052074139,0.495679497250589,1
0.735849056603774,0.725749559082892,0.759259259259259,0.702821869488536,0.496860282574568,1
0.731150793650794,0.728395061728395,0.729276895943563,0.696649029982363,0.498430141287284,1
0.734856007944389,0.732568402471315,0.732568402471315,0.71756398940865,0.484681853888452,1
0.739861523244313,0.73215859030837,0.743612334801762,0.694273127753304,0.492549019607843,1
0.730959446092977,0.736563876651982,0.737444933920705,0.703964757709251,0.501960784313725,1
0.714001986097319,0.734567901234568,0.731922398589065,0.701058201058201,0.492150706436421,1
0.722939424031778,0.745149911816579,0.742504409171076,0.705467372134039,0.490580847723705,1
0.717261904761905,0.731685789938217,0.741394527802295,0.709620476610768,0.487038491751767,1
0.716981132075472,0.739629302736099,0.724624889673433,0.690203000882613,0.489395129615082,1
0.720515361744301,0.746255506607929,0.744493392070485,0.698678414096916,0.494901960784314,1
0.734390485629336,0.740511915269197,0.740511915269197,0.715798764342454,0.501178318931658,1
0.721230158730159,0.736331569664903,0.740740740740741,0.702821869488536,0.489795918367347,1
0.743564356435644,0.741622574955908,0.742504409171076,0.708994708994709,0.498430141287284,1
0.722772277227723,0.740088105726872,0.73920704845815,0.700440528634361,0.495686274509804,1
0.729435084241824,0.748677248677249,0.749559082892416,0.707231040564374,0.508634222919937,1
0.719960278053625,0.749559082892416,0.752204585537919,0.706349206349206,0.501569858712716,1
0.728444003964321,0.744268077601411,0.751322751322751,0.701940035273369,0.487441130298273,1
0.732142857142857,0.762786596119929,0.762786596119929,0.708112874779541,0.50392464678179,1
0.732604373757455,0.748455428067079,0.748455428067079,0.707855251544572,0.502749410840534,1
0.728897715988083,0.741850220264317,0.740969162995595,0.711894273127753,0.488627450980392,1
