"BeSiVa","Lasso","Elastic Net","Random Forest","Adaboost.M1"
0.75,0.733870967741935,0.741935483870968,0.701612903225806,0.685483870967742
0.69047619047619,0.714285714285714,0.714285714285714,0.658730158730159,0.674603174603175
0.704,0.712,0.712,0.68,0.664
0.714285714285714,0.698412698412698,0.698412698412698,0.69047619047619,0.698412698412698
0.811023622047244,0.811023622047244,0.811023622047244,0.78740157480315,0.763779527559055
0.766129032258065,0.766129032258065,0.766129032258065,0.725806451612903,0.693548387096774
0.752,0.752,0.728,0.736,0.76
0.744,0.712,0.72,0.712,0.744
0.761904761904762,0.761904761904762,0.761904761904762,0.76984126984127,0.793650793650794
0.698412698412698,0.69047619047619,0.682539682539683,0.698412698412698,0.698412698412698
0.73015873015873,0.738095238095238,0.738095238095238,0.73015873015873,0.69047619047619
0.753968253968254,0.753968253968254,0.753968253968254,0.738095238095238,0.714285714285714
0.672,0.664,0.64,0.688,0.664
0.746031746031746,0.761904761904762,0.777777777777778,0.722222222222222,0.722222222222222
0.698412698412698,0.714285714285714,0.714285714285714,0.73015873015873,0.698412698412698
0.669291338582677,0.692913385826772,0.692913385826772,0.661417322834646,0.677165354330709
0.706349206349206,0.738095238095238,0.722222222222222,0.69047619047619,0.666666666666667
0.728,0.72,0.712,0.744,0.688
0.765625,0.75,0.75,0.7421875,0.7578125
0.674603174603175,0.69047619047619,0.682539682539683,0.682539682539683,0.666666666666667
0.777777777777778,0.793650793650794,0.793650793650794,0.674603174603175,0.698412698412698
0.7109375,0.6796875,0.6953125,0.7578125,0.703125
0.784,0.792,0.792,0.792,0.728
0.732283464566929,0.708661417322835,0.708661417322835,0.677165354330709,0.661417322834646
0.672,0.672,0.672,0.68,0.672
