""
"","(Intercept)","Party2","Party3"
"scores",9.74919411758836,-14.2820487084772,-6.41694639674731
"","(Intercept)","Party2","Party3","cons_ownrent"
"scores",2.54131983306011,-14.2437546560509,-6.1958638663179,1.84168129413147
"","(Intercept)","Party2","Party3","cons_dbi_autobuyer_new"
"scores",1.70034340228005,-14.2550824928576,-6.08659619882394,2.82306168870574
"","(Intercept)","Party2","Party3","cons_dbi_travel_vacation_intl_cruise"
"scores",4.22987955990962,-14.3040474723944,-6.11551574538661,3.71750435596766
"","(Intercept)","Party2","Party3","voted_12g"
"scores",4.8017045668843,-14.2984972304965,-6.26565188180227,1.01007903960991
"","(Intercept)","Party2","Party3","voted_12g","cons_dbi_finance_brokerageacct"
"scores",2.1496049939806,-14.3197857757017,-6.04545770715443,0.784608848019252,2.98697386337547
